fox/ui/prefab/GraphAsset/cursor/cursor	d601347bd960
tpp/environ/object/cyprus/flower/cypr_flwr003/scenes/cypr_flwr003	45d63d477fe6
tpp/environ/object/cyprus/fluorescent/cypr_flrs001/scenes/cypr_flrs001_vrtn005	f34059031bee
tpp/environ/object/cyprus/fluorescent/cypr_flrs002/scenes/cypr_flrs002_vrtn002	0c575740f680
tpp/environ/object/cyprus/hall/cypr_hall002/scenes/cypr_hall002	3780b9651561
tpp/environ/object/cyprus/light/cypr_lght002/scenes/cypr_lght002_vrtn001	12c6b3cd488f
tpp/environ/object/cyprus/light/cypr_lght003/scenes/cypr_lght003_emit001	3a038069d573
tpp/environ/object/cyprus/light/cypr_lght008/scenes/cypr_lght008_vrtn001	2d94c6786c3a
tpp/environ/object/cyprus/med_equip/cypr_mdeq004/scenes/cypr_mdeq004_vrtn009_an	a35a9ccc070f
tpp/environ/object/cyprus/med_equip/cypr_mdeq006/scenes/cypr_mdeq006_swtc001	c523d09e78a9
tpp/environ/object/cyprus/paper/cypr_papr001/scenes/cypr_papr001	1727f78bb51a
tpp/environ/object/cyprus/paper/cypr_papr001/scenes/cypr_papr001_vrtn001_an	58efdf19841f
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_flor001	5c7af5093529
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_flor001_br	40c2d557a413
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn001	8bce985892da
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn002	e95f0f00b6e0
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn003	b19dea6952c1
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn003_br	54676db2444f
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn004	9b93b3a34f8c
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn005	dd762d230604
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn006	9cd09b16b33b
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn006_br	438a0af5e549
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn007	02f04079a945
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn008	310e1fa66032
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn009	9ad38b1f10c6
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn010	3e2f4afcfe56
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn011	0b09d711e4e6
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn012	39730baff8c9
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn013	de329fbc7e08
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn014	ccda50b21020
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn015	7902057979d2
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn016	35f81415d3a6
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn017	c009a9f31bad
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn018	beab84476b9a
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn019	f6dc2eada37a
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn020	0c8331b8393d
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn021	b93d7a7a2aae
tpp/environ/object/cyprus/poster/cypr_pstr001/scenes/cypr_pstr001	4779b5d14252
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003	1fba3c3ac187
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003_vrtn001	7442816e5391
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003_vrtn002	ae41e166c388
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003_vrtn003	97ca26e4b4e4
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003_vrtn004	dce8cc736a30
tpp/environ/object/cyprus/poster/cypr_pstr003/scenes/cypr_pstr003_vrtn005	30eac763bc5e
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn001	75998d62ca99
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn002	89c8a45abd48
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn005	9a2fbbfd57d6
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn008	52b7e688f092
tpp/environ/object/cyprus/toilet/cypr_tlet001/scenes/cypr_tlet001	afe1152e2111
tpp/environ/object/cyprus/vase/cypr_vase002/scenes/cypr_vase002	31e1086deb37
tpp/environ/object/cyprus/vase/cypr_vase002/scenes/cypr_vase002_vrtn002	5abf117a53c3
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_vrtn004_gm	60deb8b2f9ce
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm007_gm	50dce64b3274
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm008_gm	5f90d80418a3
tpp/environ/object/cyprus/window/cypr_wndw003/scenes/cypr_wndw003_dbri001	387839411883
tpp/environ/object/cyprus/window/cypr_wndw004/scenes/cypr_wndw004_vrtn0019	c456c64dc245
tpp/environ/object/cyprus/window/cypr_wndw004/scenes/cypr_wndw004_vrtn009	2bfcc8834260
tpp/environ/object/cyprus/window/cypr_wndw005/scenes/cypr_wndw005	d42df1b535c1
tpp/environ/object/cyprus/window/cypr_wndw005/scenes/cypr_wndw005_vrtn002	a52a923783a1
tpp/environ/object/cyprus/window_frame/cypr_wdfm001/scenes/cypr_wdfm001_vrtn002	f9bc83fb082e
tpp/environ/object/cyprus/window_frame/cypr_wdfm004/scenes/cypr_wdfm004_vrtn001	2a3088b98bfb
tpp/environ/object/guantanamo/antenna/gntn_antn001/scenes/gntn_antn001_vrtn002	cffdb9bcbc33
tpp/environ/object/guantanamo/cable/gntn_cabl002/scenes/gntn_cabl002_cabl005	38434338a15a
tpp/environ/object/guantanamo/pipe/gntn_pipe005/scenes/gntn_pipe005_vrtn003	8863a73cfa32
tpp/environ/object/middle_africa/building/mafr_buld010/scenes/mafr_buld010_wall001	468427ecd213
tpp/environ/object/cyprus/chair/cypr_char001/scenes/cypr_char001_vrtn001_gm	3f1f3dae63f0
tpp/environ/object/cyprus/door/cypr_door005/scenes/cypr_door005_glas002	4b1aa27a8928
tpp/environ/object/cyprus/door/cypr_door005/scenes/cypr_door005_glas003	3854d2485635
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas001	187b0eb61418
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas002	a90f35a7e92c
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas003	430b108860a4
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas004	7c1f404cc38d
tpp/environ/object/cyprus/window/cypr_wndw003/scenes/cypr_wndw003	2875bfce1661
cypr_s_stage_01_fpkd.inf:name /Assets/tpp/level/location/cypr/block_small/01/cypr_01_path	824a3a7e3616
tpp/level/location/cypr/block_small/01/cypr_01_path	f87a6d30ed5e
tpp/level/location/cypr/block_small/01/cypr_01_other	d3468760bd13
tpp/level/location/cypr/block_small/01/cypr_01_gimmick	7bf29592805f
tpp/level/location/cypr/block_small/01/cypr_01_effect	9eee244fc5c0
tpp/level/location/cypr/block_small/01/cypr_01_asset	d06d8862e5d7
tpp/parts/environ/object/cyprus/window/cypr_wndw003/cypr_wndw003	bb95ef46d18d
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas004	961a2f5d85b0
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas003	22a0a9ebec05
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas002	e8280fa601ae
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas001	e83a01b89211
tpp/parts/environ/object/cyprus/radio/cypr_radi001/cypr_radi001	ec3e11657bf1
tpp/parts/environ/object/cyprus/paper/cypr_papr001/cypr_papr001_vrtn001	91b4e362188c
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq006/cypr_mdeq006_wave005	7633e6df7c4f
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq006/cypr_mdeq006_wave004	46dd35aaabba
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq006/cypr_mdeq006_wave003	e47d2c4f1f58
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq006/cypr_mdeq006_wave002	c8e7d70027ae
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn009	f89dfd755a83
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/fan/cypr_fann001/cypr_fann001_vrtn001	40da6a879fa7
tpp/parts/environ/object/cyprus/fan/cypr_fann001/cypr_fann001	9a7adf70f0c0
tpp/parts/environ/object/cyprus/elevator/cypr_elvt001/cypr_elvt001_lamp001	2a5189c6ef62
tpp/parts/environ/object/cyprus/door/cypr_door005/cypr_door005_glas003	dabeb37b2eca
tpp/parts/environ/object/cyprus/door/cypr_door005/cypr_door005_glas002	35160f736643
tpp/parts/environ/object/cyprus/door/cypr_door004/cypr_door004_door001_ev	4e653ac80b2c
tpp/parts/environ/object/cyprus/door/cypr_door003/cypr_door003_anim001	d3ae92e68aef
tpp/parts/environ/object/cyprus/curtain/cypr_crtn002/cypr_crtn002_vrtn002	44a0fb366a91
tpp/parts/environ/object/cyprus/curtain/cypr_crtn002/cypr_crtn002_vrtn001	1258fc34446e
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn007	9c7605c47ff8
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn006_ev	0b53705790bc
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn006	3b0527043594
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn002	2e4c9e8b74b0
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn001	b448a1ffb249
tpp/parts/environ/object/cyprus/chair/cypr_char002/cypr_char002	d787f54c3191
tpp/parts/environ/object/cyprus/chair/cypr_char001/cypr_char001_vrtn001	c1a22b377539
tpp/parts/environ/object/cyprus/cart/cypr_cart001/cypr_cart001	c2ec72c08349
tpp/parts/environ/object/cyprus/blind/cypr_blnd001/cypr_blnd001_vrtn013	8f9a7ba0124c
tpp/parts/environ/object/cyprus/blind/cypr_blnd001/cypr_blnd001_vrtn012	fb22930d2990
tpp/parts/environ/object/cyprus/ashtray/cypr_asht001/cypr_asht001_anim	a2998a69a8a2
tpp/level/location/cypr/block_small/01/cypr_s_stage_01_FxLocators	35c8f2391225
tpp/effect/vfx_data/light/fx_tpp_lgtemg01_s0	f5463b1f64d7
tpp/effect/vfx_data/break/fx_tpp_brkgls01_s1	615bf9b8e0f3
tpp/parts/environ/object/cyprus/window/cypr_wndw003/cypr_wndw003	bb95ef46d18d
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas004	961a2f5d85b0
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas003	22a0a9ebec05
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas002	e8280fa601ae
tpp/parts/environ/object/cyprus/window/cypr_wndw001/cypr_wndw001_glas001	e83a01b89211
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/door/cypr_door005/cypr_door005_glas003	dabeb37b2eca
tpp/parts/environ/object/cyprus/door/cypr_door005/cypr_door005_glas002	35160f736643
tpp/parts/environ/object/cyprus/chair/cypr_char002/cypr_char002	d787f54c3191
tpp/parts/environ/object/middle_africa/chair/mafr_char003/mafr_char003	30a740093863
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/chair/cypr_char002/cypr_char002	d787f54c3191
tpp/level/location/cypr/block_small/02/cypr_02_other_fox2_0_geoprim_win	00d9b5c76d91
cypr_s_stage_02_fpk.inf:name /Assets/tpp/level/location/cypr/block_small/02/cypr_02_path_fox2_0_geoprim_win	711029409fe3
tpp/level/location/cypr/block_small/02/cypr_02_path_fox2_0_geoprim_win	83202dd04efa
cypr_s_stage_02_fpk.inf:name /Assets/tpp/level/location/cypr/block_small/02/cypr_02_path_fox2_0_win	38c769211b8e
tpp/level/location/cypr/block_small/02/cypr_02_path_fox2_0_win	2b96a8d32440
tpp/level/location/cypr/block_small/02/cypr_02_asset_fox2_grxoc_win	eb712cd8285c
tpp/level/location/cypr/block_small/02/lba/cypr_blnd001_vrtn012	95d5d322bb04
tpp/level/location/cypr/block_small/02/lba/cypr_blnd001_vrtn013	cca198f39f53
tpp/level/location/cypr/block_small/02/lba/cypr_bttl001_vrtn001	1a92c1af535e
tpp/level/location/cypr/block_small/02/lba/cypr_bttl001_vrtn002	872313f403f9
tpp/level/location/cypr/block_small/02/lba/cypr_char005	b7b5e51ef0d7
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn010	03d22965bd44
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn011	1afeb20c155a
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn012	98d4a5bc5da3
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn013	8a643101ea8b
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn014	4fc9ec59dd6c
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn014_de	3480c11425e1
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn015	27cc9fa03290
tpp/level/location/cypr/block_small/02/lba/cypr_crtn001_vrtn015_de	5060fa7f170e
tpp/level/location/cypr/block_small/02/lba/cypr_grat001_ev	be1df0b52bd2
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn001	3b54be841fd9
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn004	c647a016c15a
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn005	dffc7bb558bf
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn006	07c09ae3ebeb
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn007	80e4497c5dbd
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq004_vrtn008	7e50a8871675
tpp/level/location/cypr/block_small/02/lba/cypr_mdeq009	863a4c4d656b
tpp/motion/mtar/env/cypr/crtn_open	f51a6128fa5e
tpp/motion/mtar/env/cypr/cypr_blnd001_vrtn012	eb724718230a
tpp/motion/mtar/env/cypr/cypr_blnd001_vrtn013	a8a7bb346445
tpp/motion/mtar/env/cypr/cypr_crtn001_vrtn010	5ba7f6e4213c
tpp/motion/mtar/env/cypr/cypr_crtn001_vrtn011	b40cdceab069
tpp/motion/mtar/env/cypr/cypr_crtn001_vrtn012	b75a98602141
tpp/motion/mtar/env/cypr/cypr_crtn001_vrtn013	4a1ff8d30de3
tpp/motion/mtar/env/cypr/cypr_door_001_pnt22_open	b1c3c1fdac49
tpp/pack/location/cypr/pack_small/cypr_s_stage_02	7a65b26f7c0b
tpp/level/location/cypr/block_small/02/cypr_02_asset_fox2_geotrap_win	49d24c8d9e86
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn007	d57f8ceaf80c
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn010_an	54d99418dee3
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn011_an	2c2a91e50f4a
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn012_an	03ac46a7bb8c
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn013_an	35a96160b088
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn014_an	9bbbc5430405
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn015_an	38aebfb1f28d
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn016_an	a2798aaf9ae4
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_door001_br	52b2df4f5fb6
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_drfr001_br	dadf89ab7594
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_wndw001_br	834592020188
tpp/environ/object/cyprus/fluorescent/cypr_flrs002/scenes/cypr_flrs002_vrtn002	0c575740f680
tpp/environ/object/cyprus/light/cypr_lght002/scenes/cypr_lght002_vrtn001	12c6b3cd488f
tpp/environ/object/cyprus/light/cypr_lght003/scenes/cypr_lght003_emit001	3a038069d573
tpp/environ/object/cyprus/light/cypr_lght008/scenes/cypr_lght008_vrtn001	2d94c6786c3a
tpp/environ/object/cyprus/med_equip/cypr_mdeq002/scenes/cypr_mdeq002_vrtn002	fe5453388abf
tpp/environ/object/cyprus/med_equip/cypr_mdeq003/scenes/cypr_mdeq003	9da3d4d42a94
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn022	b439e5ee9437
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn023	ab7ef1e2d98d
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn024	fb70c990c649
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn025	2bca1741a54b
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn031	7988ec05dce1
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn031_br	2640972e9f22
tpp/environ/object/cyprus/pipe/cypr_pipe001/scenes/cypr_pipe001_sprk001	33863e9922a7
tpp/environ/object/cyprus/pipe/cypr_pipe001/scenes/cypr_pipe001_vrtn012	abde6e600a50
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn003	ed1d537a4251
tpp/environ/object/cyprus/room/cypr_room002/scenes/cypr_room002_vrtn002	67027901224a
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas007_gm	1267c6c99225
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas008_gm	345e6150385a
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_vrtn006	a7287ee23146
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm001	1cb6c8e7a473
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm002	b1c7dcfc9b7d
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm003	15eb551e1706
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm004	abc7ab8027bf
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm005	6489616ef1c2
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm006	3e175a2cbf48
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm007_gm	50dce64b3274
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm008_gm	5f90d80418a3
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn007	d57f8ceaf80c
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn010_an	54d99418dee3
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn011_an	2c2a91e50f4a
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn012_an	03ac46a7bb8c
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn013_an	35a96160b088
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn014_an	9bbbc5430405
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn015_an	38aebfb1f28d
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn016_an	a2798aaf9ae4
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_door001_br	52b2df4f5fb6
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_drfr001_br	dadf89ab7594
tpp/environ/object/cyprus/door/cypr_door003/scenes/cypr_door003_wndw001_br	834592020188
tpp/environ/object/cyprus/fluorescent/cypr_flrs002/scenes/cypr_flrs002_vrtn002	0c575740f680
tpp/environ/object/cyprus/light/cypr_lght002/scenes/cypr_lght002_vrtn001	12c6b3cd488f
tpp/environ/object/cyprus/light/cypr_lght003/scenes/cypr_lght003_emit001	3a038069d573
tpp/environ/object/cyprus/light/cypr_lght008/scenes/cypr_lght008_vrtn001	2d94c6786c3a
tpp/environ/object/cyprus/med_equip/cypr_mdeq002/scenes/cypr_mdeq002_vrtn002	fe5453388abf
tpp/environ/object/cyprus/med_equip/cypr_mdeq003/scenes/cypr_mdeq003	9da3d4d42a94
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn022	b439e5ee9437
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn023	ab7ef1e2d98d
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn024	fb70c990c649
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn025	2bca1741a54b
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn031	7988ec05dce1
tpp/environ/object/cyprus/passage/cypr_pssg001/scenes/cypr_pssg001_vrtn031_br	2640972e9f22
tpp/environ/object/cyprus/pipe/cypr_pipe001/scenes/cypr_pipe001_sprk001	33863e9922a7
tpp/environ/object/cyprus/pipe/cypr_pipe001/scenes/cypr_pipe001_vrtn012	abde6e600a50
tpp/environ/object/cyprus/room/cypr_room001/scenes/cypr_room001_vrtn003	ed1d537a4251
tpp/environ/object/cyprus/room/cypr_room002/scenes/cypr_room002_vrtn002	67027901224a
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas007_gm	1267c6c99225
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_glas008_gm	345e6150385a
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_vrtn006	a7287ee23146
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm001	1cb6c8e7a473
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm002	b1c7dcfc9b7d
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm003	15eb551e1706
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm004	abc7ab8027bf
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm005	6489616ef1c2
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm006	3e175a2cbf48
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm007_gm	50dce64b3274
tpp/environ/object/cyprus/window/cypr_wndw001/scenes/cypr_wndw001_wdfm008_gm	5f90d80418a3
tpp/environ/object/cyprus/curtain/cypr_crtn001/scenes/cypr_crtn001_vrtn014_an	9bbbc5430405
cypr_s_stage_02_fpkd.inf:name /Assets/tpp/level/location/cypr/block_small/02/cypr_02_path	4ee93a3f827d
tpp/level/location/cypr/block_small/02/cypr_02_path	f08fd7d17d9b
tpp/level/location/cypr/block_small/02/cypr_02_other	a6e932d26bd1
tpp/level/location/cypr/block_small/02/cypr_02_gimmick	cc499b1dd3cd
tpp/level/location/cypr/block_small/02/cypr_02_asset	53fff3bb5b0f
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/grate/cypr_grat001/cypr_grat001_ev	b0242ede4783
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn015_de	a94c81cec1d2
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn015	d4bd400a8df2
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn014_de	a958d249059c
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn014	d4b9ec82d71b
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn013	ff8c66b5678b
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn012	be762c19e0a7
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn011	3ee58bbbe971
tpp/parts/environ/object/cyprus/curtain/cypr_crtn001/cypr_crtn001_vrtn010	1b9605619532
tpp/parts/environ/object/cyprus/blind/cypr_blnd001/cypr_blnd001_vrtn013	8f9a7ba0124c
tpp/parts/environ/object/cyprus/blind/cypr_blnd001/cypr_blnd001_vrtn012	fb22930d2990
tpp/level/location/cypr/block_small/02/cypr_s_stage_02_FxLocators	7ca5b9de0ec8
tpp/effect/vfx_data/light/fx_tpp_lgtemg01_s0	f5463b1f64d7
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
tpp/parts/environ/object/cyprus/med_equip/cypr_mdeq004/cypr_mdeq004_vrtn004	18390fde0347
cypr_s_stage_03_fpk.inf:name /Assets/tpp/level/location/cypr/block_small/03/cypr_03_path_fox2_0_geoprim_win	24386edd85f8
tpp/level/location/cypr/block_small/03/cypr_03_path_fox2_0_geoprim_win	02fea7c47fa9
cypr_s_stage_03_fpk.inf:name /Assets/tpp/level/location/cypr/block_small/03/cypr_03_path_fox2_0_win	cb261bf204e9
tpp/level/location/cypr/block_small/03/cypr_03_path_fox2_0_win	580ced4836cc
tpp/level/location/cypr/block_small/03/cypr_03_asset_fox2_grxoc_win	fb52b8bf28f2
tpp/level/location/cypr/block_small/03/lba/cypr_asht001	f8946c3e03e5
tpp/level/location/cypr/block_small/03/lba/cypr_bttl001_vrtn001	6d593e824856
tpp/level/location/cypr/block_small/03/lba/cypr_bttl001_vrtn002	4f35fd3d223b
tpp/level/location/cypr/block_small/03/lba/cypr_char005	690bf8005ab3
tpp/level/location/cypr/block_small/03/lba/cypr_extn001	5fe208e91bd6
tpp/level/location/cypr/block_small/03/lba/cypr_mdeq004_vrtn001	85a8a75029ed
